stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
63,0.5,1.0,78.71918462499889,,78.71144270800141,78.71918462499889,79.21352675000526,79.2091665830012,79.2091665830012,79.49599375000253,79.74446729200281,left,-1.0,1,1,0.5304328339989297,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
64,0.5,1.0,79.74910749999981,,79.74482916700072,79.74910749999981,80.24696004200086,80.24203337500512,80.24203337500512,80.53013937500509,80.81481883300148,left,-1.0,1,1,0.5675801250035875,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
65,0.5,1.0,80.82587229199999,,80.81509533300414,80.82587229199999,81.31381962500018,81.31381962500018,81.31381962500018,81.60916412500228,81.82761787500203,left,-1.0,1,1,0.5068659169992316,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
66,0.5,0.5,81.83554837499833,,81.82800129200041,81.83554837499833,82.32919850000326,82.32574970800488,82.32574970800488,82.61221216700505,82.71077145800518,left,-0.5,1,1,0.37579429199831793,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
67,0.5,0.5,82.7184475000031,,82.71114583300368,82.7184475000031,83.21264887500001,83.20903433299827,83.20903433299827,83.49580595800217,83.79421079200256,right,0.5,1,1,0.5780955000009271,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
68,0.5,0.5,83.80207604200405,,83.79459950000455,83.80207604200405,84.2958610420028,84.2924835829981,84.2924835829981,84.57995295800356,84.69765824999922,left,-0.5,0,0,0.4009463750044233,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
69,0.5,1.0,84.70933541699924,,84.69792720799887,84.70933541699924,85.19751850000466,85.19751850000466,85.19751850000466,85.49633475000155,85.64456549999886,right,1.0,1,1,0.43804987499606796,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
70,0.5,1.0,85.6534296250029,,85.64505516699865,85.6534296250029,86.14639479199832,86.14252191700507,86.14252191700507,86.42929945800279,86.54427541699988,right,1.0,1,1,0.39194325000426034,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
71,0.5,1.0,86.55304366700148,,86.5447067080022,86.55304366700148,87.04688491699926,87.0425256669987,87.0425256669987,87.32971087500482,87.49428570800228,left,-1.0,0,0,0.44116395800665487,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
72,0.5,1.5,87.50191941700177,,87.49458904199855,87.50191941700177,87.99644575000275,87.99254075000499,87.99254075000499,88.27937820800435,88.41094349999912,right,1.5,1,1,0.40797533400473185,712140,"001",2025-09-02_21h39.02.191,Adaptive Staircase Tutorial,,2025.2.0,None,2025-09-02 21h39.02.203918 +0530,
